id,tipo,bairro,area_lote,area_interna,salas,suites,quartos,vagas,preco
1,casa,Damha Residencial Uberaba III,360.0,284.74,1,3,3,4,2950000.0
2,casa,Damha Residencial Uberaba III,362.91,281.81,1,3,3,4,2700000.0
3,casa,Residencial Mário de Almeida Franco,1880.0,778.0,2,5,7,10,5400000.0
4,casa,Damha Residencial Uberaba II,461.0,340.0,2,4,4,4,6350000.0
5,casa,Condomínio Terra Nova,143.0,140.0,1,1,3,3,580000.0
6,casa,Damha Residencial Uberaba III,409.75,263.7,1,3,4,4,2800000.0
7,apartamento,Jardim do Lago,0.0,127.0,2,3,3,2,950000.0
8,casa,Damha Residencial Uberaba I,404.0,240.0,1,3,3,4,2550000.0
9,casa,Jardim São Bento,0.0,253.7,1,2,4,4,870000.0
10,lote,Condominio Terras Alpha,321.43,0.0,0,0,0,0,320000.0
11,terreno,Loteamento Residencial Damha Fit,250.0,0.0,0,0,0,0,210000.0
12,terreno,Loteamento Residencial Damha Fit,250.0,0.0,0,0,0,0,210000.0
13,casa,Residencial Mário de Almeida Franco,1880.0,299.0,3,4,4,5,2850000.0
14,casa,Cyrela Landscape,407.0,200.0,2,3,3,4,1600000.0
15,casa,Condomínio Parque do Rio Grande,309.0,248.0,2,3,3,2,890000.0
16,casa,Cyrela Landscape II (Residencial Vitória),523.3,234.71,2,3,3,4,1770000.0
17,terreno,Condomínio Ayat Club Residence II,250.0,0.0,0,0,0,0,250000.0
18,terreno,Cyrela Landscape,396.0,0.0,0,0,0,0,340000.0
19,cobertura,Santa Maria,0.0,172.0,1,2,4,2,980000.0
20,casa,Condomínio Residencial Baronesa,720.0,300.0,3,3,3,4,3200000.0
21,casa,Condomínio Residencial Baronesa,360.0,330.0,3,4,5,6,2950000.0
22,casa,Damha Residencial Uberaba II,394.6,399.0,2,4,5,2,4000000.0
23,lote,Condominio Terras Alpha,321.43,0.0,0,0,0,0,344000.0
24,terreno,Loteamento Residencial Damha Fit,250.0,0.0,0,0,0,0,225000.0
25,apartamento,Santa Maria,0.0,115.0,1,3,3,2,920000.0
26,casa,Portal Beija Flor,200.0,150.0,1,1,3,2,740000.0
27,casa,Santa Maria,445.6,335.0,4,2,4,3,1800000.0
28,apartamento,Vila Maria Helena,0.0,70.0,1,2,2,2,540000.0
29,apartamento,Irmãos Soares,0.0,148.47,3,3,3,4,750000.0
30,apartamento,Parque do Mirante,0.0,52.0,1,0,2,1,260000.0
31,casa,Estância dos Ipês,300.0,180.0,1,3,3,4,1700000.0
32,apartamento,Santa Maria,0.0,112.0,1,1,3,2,710000.0
33,terreno,Damha Residencial Uberaba III,384.97,0.0,0,0,0,0,650000.0
34,sobrado,São Sebastião,357.0,165.85,1,1,3,2,460000.0
35,apartamento,São Sebastião,0.0,69.0,1,2,2,2,615000.0
36,casa,Jardim São Bento,461.5,278.89,1,3,3,3,1150000.0
37,casa,Estância dos Ipês,300.0,179.67,1,3,3,4,1590000.0
38,casa,Residencial Mário de Almeida Franco,545.75,335.0,1,3,4,6,2650000.0
39,casa,Jockey Park II,450.0,271.28,2,3,3,2,2200000.0
40,apartamento,Jardim do Lago,0.0,200.0,2,3,3,3,1600000.0
41,casa,Condomínio Ayat Club Residence,220.0,146.0,2,1,3,2,1250000.0
42,apartamento,Estados Unidos,0.0,76.0,1,1,2,2,490000.0
43,casa,Jardim do Lago,360.0,198.72,1,1,3,4,1300000.0
44,casa,Condomínio Ayat Club Residence,220.0,151.0,2,3,3,2,1050000.0
45,apartamento,Santa Maria,0.0,122.53,2,1,3,1,350000.0
46,sobrado,Estados Unidos,165.0,187.0,2,1,4,2,550000.0
47,apartamento,Estados Unidos,0.0,258.0,3,2,4,2,1390000.0
48,casa,Recanto das Torres,2481.82,485.0,3,4,4,4,4200000.0
49,casa,Olinda,360.0,248.3,1,3,3,3,700000.0
50,casa,Fabrício,400.0,238.5,1,1,3,3,1050000.0
51,casa,Damha Residencial Uberaba I,1200.0,668.0,4,4,4,8,6000000.0
52,apartamento,Santa Maria,0.0,112.0,1,1,3,2,750000.0
53,lote,Condominio Terras Alpha,348.0,0.0,0,0,0,0,360000.0
54,apartamento,Jardim do Lago,0.0,127.0,2,3,3,2,815000.0
55,apartamento,Santa Maria,0.0,228.32,2,1,3,3,1300000.0
56,terreno,Residencial Mário de Almeida Franco,1880.0,0.0,0,0,0,0,700000.0
57,apartamento,Jardim Alexandre Campos,0.0,302.0,3,4,4,3,1600000.0
58,terreno,Loteamento Residencial Damha Fit,250.0,0.0,0,0,0,0,200000.0
59,terreno,Loteamento Residencial Damha Fit,250.0,0.0,0,0,0,0,200000.0
60,apartamento,São Sebastião,0.0,170.0,0,0,0,2,700000.0
61,casa,Cyrela Landscape II (Residencial Vitória),405.0,214.0,2,3,3,4,2100000.0
62,casa,Condomínio Residencial Baronesa,720.0,315.0,2,3,3,4,2200000.0
63,lote,Estância dos Ipês,350.0,0.0,0,0,0,0,400000.0
64,terreno,Recreio dos Bandeirantes,444.0,0.0,0,0,0,0,500000.0
65,lote,Residencial Jardins,250.0,0.0,0,0,0,0,240000.0
66,terreno,Damha Residencial Uberaba III,393.6,0.0,0,0,0,0,450000.0
67,dois,Damha Residencial Uberaba III,787.2,0.0,0,0,0,0,840000.0
68,quatro,Damha Residencial Uberaba III,1520.0,0.0,0,0,0,0,1680000.0
69,lote,Estância dos Ipês,345.0,0.0,0,0,0,0,420000.0
70,lote,Estância dos Ipês,300.0,0.0,0,0,0,0,360000.0
71,lote,Estância dos Ipês,375.0,0.0,0,0,0,0,450000.0
72,apartamento,Estados Unidos,0.0,214.0,3,1,3,2,900000.0
73,lote,Loteamento Residencial Damha Fit,250.0,0.0,0,0,0,0,190000.0
74,apartamento,São Benedito,0.0,67.0,1,1,3,2,300000.0
75,lote,Cyrela Landscape,400.11,0.0,0,0,0,0,320000.0
76,lote,Residencial Mário de Almeida Franco,2000.0,0.0,0,0,0,0,600000.0
77,casa,Cond. Res. Lago do Jockey,500.0,380.0,1,4,4,4,2000000.0
78,casa,Damha Residencial Uberaba III,395.42,238.0,1,3,3,4,2780000.0
79,alto,Cyrela Landscape,415.46,178.57,1,3,3,4,1600000.0
80,casa,Jardim São Bento,0.0,188.0,1,1,3,2,799000.0
81,terreno,Cyrela Landscape II (Residencial Vitória),452.0,0.0,0,0,0,0,320000.0
82,terreno,Parque das Laranjeiras,250.0,0.0,0,0,0,0,180000.0
